reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,10,4,74,4,114.87772260000929,,114.86708110000473,114.87772260000929,115.87765500001842,115.87765500001842,115.87765500001842,115.9294417000201,l,0.038534099992830306,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,10,5,75,6,115.94415220001247,,115.93034120000084,115.94415220001247,116.94457330001751,116.94457330001751,116.94457330001751,117.1639968000236,l,0.21675870000035502,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,10,6,76,5,117.17725500001688,,117.16551640001126,117.17725500001688,118.17743160002283,118.17743160002283,118.17743160002283,118.2458257000253,l,0.061971699993591756,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,11,0,77,5,118.26064250001218,,118.24670509999851,118.26064250001218,119.26044020001427,119.26044020001427,119.26044020001427,119.84508320002351,t,0.5691639000142459,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,11,1,78,0,119.85965230001602,,119.8460505999974,119.85965230001602,120.86008120002225,120.86008120002225,120.86008120002225,121.59607940001297,l,0.7198276999988593,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,11,2,79,4,121.60971090002568,,121.5980614,121.60971090002568,122.60984210000606,122.60984210000606,122.60984210000606,123.34516450000228,t,0.7298701000108849,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,11,3,80,1,123.35921530000633,,123.34611000001314,123.35921530000633,124.35925070001394,124.35925070001394,124.35925070001394,124.82719660000294,l,0.45487430001958273,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,11,4,81,6,124.84225240000524,,124.82782470001257,124.84225240000524,125.84234140001354,125.84234140001354,125.84234140001354,125.99272989999736,l,0.13658389999181964,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,11,5,82,3,126.00848060002318,,125.99337979999837,126.00848060002318,127.00873950001551,127.00873950001551,127.00873950001551,127.69294130001799,l,0.679267700004857,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,11,6,83,2,127.70826500002295,,127.69356490002247,127.70826500002295,128.70822470000712,128.70822470000712,128.70822470000712,129.4604133000248,t,0.7364879999950062,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
